num_cities,paths_processed,best_distance,duration_s
2,2,36.78563575643336,0.0108
2,2,58.95100961472822,0.0045
2,2,55.530796237791435,0.0033
2,2,20.262436021657248,0.0029
2,2,7.34712068165112,0.0029
2,2,66.65433954778463,0.0033
2,2,98.63236919802398,0.0035
2,2,98.12674492223704,0.0031
2,2,59.090071496938855,0.003
2,2,67.53572720679723,0.0033
2,2,79.55651186164519,0.0032
2,2,98.40907898824678,0.0031
2,2,65.31947408972776,0.0028
2,2,74.27345993843981,0.0031
2,2,76.7374477533208,0.0029
2,2,93.49381242068846,0.0028
2,2,96.90095505188185,0.0028
2,2,95.40168564321232,0.003
2,2,84.03573350039522,0.0032
2,2,87.48872030104981,0.0028
3,6,52.16140268699694,0.0065
3,6,85.27589880782168,0.006
3,6,99.29891316460632,0.0061
3,6,81.6166839521591,0.0064
3,6,85.46034155019998,0.0064
3,6,84.29675952636025,0.0062
3,6,63.004464475912656,0.006
3,6,44.92830108358201,0.007
3,6,77.0552367207868,0.0075
3,6,40.317294574028814,0.0071
3,6,41.80051787483866,0.0073
3,6,38.66737542497495,0.0074
3,6,65.12059434022925,0.0074
3,6,31.590907094309145,0.0069
3,6,32.58004438419884,0.0072
3,6,99.28967783225448,0.0074
3,6,90.66593093329743,0.0074
3,6,102.39648639691646,0.0078
3,6,62.62935449657178,0.0078
3,6,88.91494488825919,0.0075
4,24,168.40905082913892,0.0246
4,24,135.11236264789295,0.0229
4,24,95.95849747148732,0.0249
4,24,121.31260349389905,0.0238
4,24,132.8018894714402,0.0253
4,24,94.00864803051789,0.0229
4,24,146.18170595738647,0.023
4,24,55.23327012676094,0.0243
4,24,66.2563062129186,0.0218
4,24,108.01552851296863,0.0204
4,24,130.22237800904384,0.0209
4,24,106.23947274659724,0.0207
4,24,91.83787644670117,0.0222
4,24,82.11411476913437,0.0234
4,24,82.43900841823306,0.0216
4,24,105.1071553539089,0.0207
4,24,123.53144784687252,0.0215
4,24,129.59282310989485,0.0225
4,24,151.0784656611816,0.0227
4,24,137.05774281640714,0.0214
5,120,203.19401206525026,0.1131
5,120,124.30694629643571,0.1119
5,120,142.60855112218167,0.0975
5,120,137.34667171213553,0.1036
5,120,111.22235869513165,0.0967
5,120,95.78265684610746,0.0991
5,120,78.0307874430092,0.1007
5,120,91.76961316020768,0.1007
5,120,107.76432450726847,0.0972
5,120,184.03656439818397,0.0969
5,120,133.48487393574106,0.0962
5,120,94.88676179915922,0.0989
5,120,120.98406727670664,0.1129
5,120,109.1173059394964,0.0969
5,120,114.16054984570013,0.0986
5,120,113.08016951788449,0.0973
5,120,133.10859877379107,0.0987
5,120,139.23122537447676,0.1009
5,120,126.80312335701123,0.1012
5,120,126.03595809808459,0.102
6,720,148.62966436935085,0.531
6,720,145.6935169146335,0.4695
6,720,139.44569820622417,0.4883
6,720,188.7210101042102,0.4696
6,720,145.10029143176445,0.4917
6,720,200.0103049056616,0.4726
6,720,124.94888529706073,0.4889
6,720,123.42043808275716,0.469
6,720,171.99000847367202,0.5109
6,720,181.95828299305663,0.4955
6,720,166.82969742399897,0.5036
6,720,215.51964321603077,0.4856
6,720,139.28489249836704,0.4887
6,720,169.3035772315297,0.4847
6,720,176.3053112529961,0.5126
6,720,191.18463195736254,0.4875
6,720,152.59037416205572,0.4742
6,720,185.24689993877797,0.5101
6,720,104.80113683827575,0.4776
6,720,125.11337081185629,0.5031
7,5040,154.51660071107173,3.3994
7,5040,159.1411013961809,3.4114
7,5040,150.6847921539448,3.6384
7,5040,146.85334335917764,3.4339
7,5040,209.23455946260287,3.9775
7,5040,164.75182980226288,3.757
7,5040,194.54852134138824,3.3816
7,5040,172.1388203015138,3.3831
7,5040,143.69132328014325,3.4722
7,5040,197.44824481512993,3.4644
7,5040,179.55172887445661,3.3741
7,5040,176.14645353457803,3.3981
7,5040,166.99505805540508,3.0725
7,5040,222.202238904652,3.1339
7,5040,162.63572769309602,3.0837
7,5040,176.78215387712262,3.0661
7,5040,180.91442330935766,3.0635
7,5040,203.89247203667543,3.3611
7,5040,158.72223113365393,3.3
7,5040,201.63536650754665,3.0725
8,40320,241.45589511724316,30.6035
8,40320,166.9961431755258,26.9923
8,40320,170.0202157989767,26.9801
8,40320,207.87277788486827,27.9618
8,40320,185.8414471747446,26.6553
9,362880,204.57047317045928,227.1474
